TEXT,LATITUDE,LONGITUDE,ALTITUDE,TYPE
1968,45.1692628,10.67083652,4748,year
1969,45.1692628,10.67083652,5114,year
1970,45.1692628,10.67083652,5479,year
1971,45.1692628,10.67083652,5844,year
1972,45.1692628,10.67083652,6209,year
1973,45.1692628,10.67083652,6575,year
1974,45.1692628,10.67083652,6940,year
1975,45.1692628,10.67083652,7305,year
1976,45.1692628,10.67083652,7670,year
1977,45.1692628,10.67083652,8036,year
1978,45.1692628,10.67083652,8401,year
1979,45.1692628,10.67083652,8766,year
1980,45.1692628,10.67083652,9131,year
1981,45.1692628,10.67083652,9497,year
1982,45.1692628,10.67083652,9862,year
1983,45.1692628,10.67083652,10227,year
1984,45.1692628,10.67083652,10592,year
1985,45.1692628,10.67083652,10958,year
1986,45.1692628,10.67083652,11323,year
1987,45.1692628,10.67083652,11688,year
1988,45.1692628,10.67083652,12053,year
1989,45.1692628,10.67083652,12419,year
1955,43.7697955,11.2556404,0,year
1956,43.7697955,11.2556404,365,year
1957,43.7697955,11.2556404,731,year
1958,43.7697955,11.2556404,1096,year
1959,43.7697955,11.2556404,1461,year
1960,43.7697955,11.2556404,1826,year
1961,43.7697955,11.2556404,2192,year
1962,43.7697955,11.2556404,2557,year
1963,43.7697955,11.2556404,2922,year
1964,43.7697955,11.2556404,3287,year
1965,43.7697955,11.2556404,3653,year
1966,43.7697955,11.2556404,4018,year
1967,43.7697955,11.2556404,4383,year
1968,43.7697955,11.2556404,4748,year
1969,43.7697955,11.2556404,5114,year
1970,43.7697955,11.2556404,5479,year
1971,43.7697955,11.2556404,5844,year
1972,43.7697955,11.2556404,6209,year
1973,43.7697955,11.2556404,6575,year
1974,43.7697955,11.2556404,6940,year
1975,43.7697955,11.2556404,7305,year
1976,43.7697955,11.2556404,7670,year
1977,43.7697955,11.2556404,8036,year
1978,43.7697955,11.2556404,8401,year
1979,43.7697955,11.2556404,8766,year
1980,43.7697955,11.2556404,9131,year
1981,43.7697955,11.2556404,9497,year
1982,43.7697955,11.2556404,9862,year
1983,43.7697955,11.2556404,10227,year
1984,43.7697955,11.2556404,10592,year
1985,43.7697955,11.2556404,10958,year
1986,43.7697955,11.2556404,11323,year
1987,43.7697955,11.2556404,11688,year
1988,43.7697955,11.2556404,12053,year
1989,43.7697955,11.2556404,12419,year
1990,43.7697955,11.2556404,12784,year
1955,51.5074456,-0.1277653,0,year
